Data Structure คืออะไร?	วิธีเก็บและจัดระเบียบข้อมูลให้เข้าถึงและแก้ไขได้ง่าย
Algorithm ที่ถูกต้องต้องมีคุณสมบัติอะไร 2 อย่าง?	terminate ได้ (ไม่วนไม่จบ) + ให้ผลลัพธ์ถูกต้องสำหรับทุก input
ความต่างของ Linear กับ Non-Linear data structure?	Linear เรียงเป็นเส้น (Array, List, Stack, Queue); Non-Linear เชื่อมหลายระดับ (Tree, Graph, Hash Table)
กฎทองของ data structure คืออะไร?	No single data structure is perfect — ไม่มีอันที่ดีที่สุดทุกด้าน ต้องเลือกตามงาน
ฮาร์ดแวร์แรงแล้วทำไมยังต้องสน algorithm?	ฮาร์ดแวร์คือพลังดิบ algorithm คือความฉลาดที่ทำให้พลังนั้นมีประโยชน์ — ฮาร์ดแวร์แรงรัน algorithm ห่วยก็ยังช้า
Stack ทำงานแบบใด? operation หลัก?	LIFO (เข้าทีหลังออกก่อน); push, pop, peek, empty, size
Queue ทำงานแบบใด? operation หลัก?	FIFO (เข้าก่อนออกก่อน); enQueue(insert), deQueue(remove), peek
Stack แบบ array เริ่มค่า top เท่าไร และ push ทำยังไง?	top = -1; push คือ top++ แล้ว list[top] = x
ปัญหาของ Queue แบบ array ตอน deQueue คืออะไร แก้อย่างไร?	ถ้าเลื่อนทุกตัวจะเปลือง → ใช้ Circular Array, index ถัดไป = (rear+1) % SIZE
ยกตัวอย่างการประยุกต์ใช้ Stack	ตรวจวงเล็บสมดุล, ท่องกราฟ, เก็บ nested method calls, คำนวณ expression
Node ใน linked list ประกอบด้วยอะไร?	element (ข้อมูล) + pointer next (ชี้ node ถัดไป); ตัวสุดท้าย next = null
ข้อดีของ Linked List เหนือ Array?	insert/delete เร็ว (แค่ขยับ pointer), ขนาดยืด/หดได้, จองหน่วยความจำตอน run (dynamic)
ข้อดีของ Array เหนือ Linked List?	เข้าถึงแบบสุ่มด้วย index ได้ทันที O(1) (linked list ต้องไล่ทีละตัว)
โค้ด addFirst เขียนยังไง?	Node temp = new Node(x); temp.next = head; head = temp;
removeFirst ทำยังไง และ node เก่าเกิดอะไรขึ้น?	head = head.next; node เก่ากลายเป็น garbage ให้ JVM เก็บ
Tailed / Circular / Doubly linked list ต่างกันยังไง?	Tailed=เพิ่ม tail (addLast เร็ว); Circular=tail ชี้กลับ head (วนซ้ำ); Doubly=เพิ่ม prev (เดินถอยหลัง)
ทำไมต้องเขียน linked list เองทั้งที่มี API?	เพื่อเข้าใจการทำงานและ complexity จะได้ใช้ API ได้อย่างถูกต้องและมีประสิทธิภาพ
ADT (Abstract Data Type) คืออะไร?	ชนิดข้อมูลที่นิยามด้วยชุดค่า + ชุด operation โดยซ่อนวิธี implement (มองเป็น black box)
Generics <E> มีประโยชน์หลักอะไร?	ทำให้ class เก็บได้ทุกชนิด + compiler ตรวจจับ type mismatch ได้ก่อนรัน
ข้อจำกัดของ Generics เรื่อง primitive?	ใช้ primitive ตรงๆ ไม่ได้ ต้องใช้ wrapper เช่น Integer ไม่ใช่ int
